field_id,year,core_id,lat,lon,shac_id,depth,soc,bd
GMP-Field-51,2020,6218,37.91284545,-98.10893183,KS20-0205,15 - 30,0.56000000000000005,1.6263591270363045
GMP-Field-51,2020,6218,37.91284545,-98.10893183,KS20-0206,30 - 50,0.56000000000000005,1.6097249689512367
GMP-Field-51,2020,6218,37.91284545,-98.10893183,KS20-0207,50 - 100,0.40000000000000002,1.6805044469443862
GMP-Field-51,2020,6219,37.91279485,-98.1065612,KS20-0208,0 - 15,1.45,1.0693449182801487
GMP-Field-51,2020,6219,37.91279485,-98.1065612,KS20-0209,15 - 30,0.88,1.3926795132127427
GMP-Field-51,2020,6219,37.91279485,-98.1065612,KS20-0210,30 - 50,0.80000000000000004,1.4277105808966273
GMP-Field-51,2020,6219,37.91279485,-98.1065612,KS20-0211,50 - 100,0.28000000000000003,1.4462609235269888
GMP-Field-51,2020,6220,37.91326887,-98.10599019,KS20-0212,0 - 15,0.97999999999999998,1.4973630014982322
GMP-Field-51,2020,6220,37.91326887,-98.10599019,KS20-0213,15 - 30,0.56000000000000005,1.5454738642830861
GMP-Field-51,2020,6220,37.91326887,-98.10599019,KS20-0214,30 - 50,0.40000000000000002,1.6133691996820199
GMP-Field-51,2020,6220,37.91326887,-98.10599019,KS20-0215,50 - 100,0.16,1.6059050743067709
,2020,6221,37.79282046,-98.03712846,KS20-0216,0 - 15,1.1200000000000001,1.3087639589559663
,2020,6221,37.79282046,-98.03712846,KS20-0217,15 - 30,0.92000000000000004,1.6603418714352998
,2020,6221,37.79282046,-98.03712846,KS20-0218,30 - 50,0.82999999999999996,1.6475354834955136
,2020,6221,37.79282046,-98.03712846,KS20-0219,50 - 100,0.35999999999999999,1.5633346255201743
,2020,6222,37.7932813,-98.03713496,KS20-0220,0 - 15,0.91000000000000003,1.52852202855536
,2020,6222,37.7932813,-98.03713496,KS20-0221,15 - 30,0.81999999999999995,1.6720544214090578
,2020,6222,37.7932813,-98.03713496,KS20-0222,30 - 50,0.75,1.5920516256728146
,2020,6222,37.7932813,-98.03713496,KS20-0223,50 - 100,0.37,1.5444381951884318
,2020,6223,37.79372332,-98.0371214,KS20-0224,0 - 15,0.57999999999999996,1.6074686376340381
,2020,6223,37.79372332,-98.0371214,KS20-0225,15 - 30,0.55000000000000004,1.7003570332528284
,2020,6223,37.79372332,-98.0371214,KS20-0226,30 - 50,0.37,1.6867562393532778
,2020,6223,37.79372332,-98.0371214,KS20-0227,50 - 100,0.17999999999999999,1.6332023522402905
